notes.x	family	genus_species	lowest_tax	lowest_tax_cat	notes.y
NA	Acanthuridae	Naso annulatus	NA	NA	NA
NA	Antennariidae	Antennarius commerson	NA	NA	NA
NA	Antennariidae	Antennarius nummifer	NA	NA	NA
NA	Antennariidae	Antennatus tuberosus	NA	NA	NA
NA	Apogonidae	Apogon c.f. deetsi	NA	NA	NA
NA	Apogonidae	Apogon semiornatus	NA	NA	NA
NA	Apogonidae	Apogon articycla	NA	NA	NA
NA	Apogonidae	Fowleria sp. (cf. marmorata)	NA	NA	NA
NA	Apogonidae	Ostorhinchus fraenatus	NA	NA	NA
NA	Apogonidae	Ostorhinchus hoeveni	NA	NA	NA
NA	Apogonidae	Ostorhinchus parvula	NA	NA	NA
NA	Apogonidae	Ostorhinchus rubrimacula	NA	NA	NA
NA	Apogonidae	Pristiapogon abogramma	NA	NA	NA
NA	Apogonidae	Pseudamia amblyuropterus	NA	NA	NA
NA	Apogonidae	Siphamia jebbi	NA	NA	NA
NA	Apogonidae	Siphamia spinicola	NA	NA	NA
NA	Atherinidae	Atherinomorus lineatus	NA	NA	NA
NA	Atherinidae	Hypoatherina tropicalis	NA	NA	NA
NA	Balistidae	Odonus niger	NA	NA	NA
NA	Blenniidae	Atrosalarias hosokawai	NA	NA	NA
NA	Blenniidae	Entomacrodus longirostris	NA	NA	NA
NA	Blenniidae	Entomacrodus longicirrus	NA	NA	NA
NA	Blenniidae	Praealticus striatus	NA	NA	NA
NA	Bothidae	Asterorhombus intermedius	NA	NA	NA
NA	Bythitidae	Bythitid sp.	NA	NA	NA
NA	Bythitidae	Bythitid sp.2	NA	NA	NA
NA	Callionymidae	Synchiropus sp.	NA	NA	NA
NA	Callionymidae	Synchiropus sp. 1	NA	NA	NA
NA	Callionymidae	Synchiropus morrisoni	NA	NA	NA
NA	Chlopsidae	Kaupichthys atronasus	NA	NA	NA
NA	Cirrhitidae	Cyprinocirrhites polyactis	NA	NA	NA
NA	Congridae	Conger cinereus	NA	NA	NA
NA	Gobiesocidae	Lepadichthys sp.	NA	NA	NA
NA	Gobiidae	Amblyeleotris periophthalma	NA	NA	NA
NA	Gobiidae	Bathygobius sp.	NA	NA	NA
NA	Gobiidae	Cabillus lacertops	NA	NA	NA
NA	Gobiidae	Cabillus tragarevae	NA	NA	NA
NA	Gobiidae	Ctenogobiops pomastictus	NA	NA	NA
NA	Gobiidae	Eviota afelei	NA	NA	NA
NA	Gobiidae	Eviota albolineata	NA	NA	NA
NA	Gobiidae	Eviota cometa	NA	NA	NA
NA	Gobiidae	Eviota guttata	NA	NA	NA
NA	Gobiidae	Eviota jewetti	NA	NA	NA
NA	Gobiidae	Eviota punctulata	NA	NA	NA
NA	Gobiidae	Eviota randalli	NA	NA	NA
NA	Gobiidae	Eviota rubrisparsa	NA	NA	NA
NA	Gobiidae	Eviota shimadai	NA	NA	NA
NA	Gobiidae	Eviota sigillata	NA	NA	NA
NA	Gobiidae	Eviota n.sp. (red)	NA	NA	NA
NA	Gobiidae	Eviota n.sp. (yellow caudal)	NA	NA	NA
NA	Gobiidae	Eviota sp.(red body,yellowhead&tail)	NA	NA	NA
NA	Gobiidae	Eviota sp., cf. prasites	NA	NA	NA
NA	Gobiidae	Gobiodon citrinus	NA	NA	NA
